Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2010,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,CH,DE,,1,1,live,,T,D
2010,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,CH,DE,,1,live,,T,D
2010,I,Acropora fenneri,Anthozoa,Scleractinia,Acroporidae,Acropora,SG,MY,,,30,live,,T,W
2010,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,JP,CN,,10,10,live,,T,D
2010,I,Pachypodium baronii,,Gentianales,Apocynaceae,Pachypodium,CH,DE,,,2,live,,T,D
2010,I,Pachypodium baronii,,Gentianales,Apocynaceae,Pachypodium,TH,DE,,,5,live,,T,D
2010,I,Araucaria spp.,,Pinales,Araucariaceae,Araucaria,CH,BE,,,388,live,,T,A
2010,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,BE,CL,,21800,21800,live,,T,A
2010,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CH,BE,CL,5,5,live,,T,D
2010,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CH,BE,,32,32,live,,T,A
2010,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CH,DE,CL,64,64,live,,T,D
2010,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CH,IT,,4,,live,,T,A
2010,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CH,IT,,46,48,live,,T,D
2010,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,JP,NL,CL,44,44,live,,T,D
2010,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,NL,CL,,,90000,live,,T,A
2010,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,NL,CL,,73000,,live,,T,D
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FO,NO,,,1000,meat,kg,T,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,IS,,725,725000,meat,kg,T,W
2010,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,DE,CH,,,2,live,,T,C
2010,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CH,AT,,3,3,live,,T,C
2010,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CH,DE,,2,,live,,T,C
2010,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CH,DE,,,2,live,,T,D
2010,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,DE,CH,,,2,live,,T,C
2010,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,FR,CH,,,2,live,,T,C
2010,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,DE,CH,,,2,live,,T,C
2010,I,Cacatua haematuropygia,Aves,Psittaciformes,Cacatuidae,Cacatua,HK,PH,,,3,live,,T,C
2010,I,Cacatua haematuropygia,Aves,Psittaciformes,Cacatuidae,Cacatua,KW,PH,,10,,live,,T,C
2010,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,AE,ZA,,4,,live,,T,C
2010,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,BR,US,,1,,live,,T,D
2010,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,DE,PH,,1,,live,,T,C
2010,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,JP,SG,,16,24,live,,T,D
2010,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,TW,SG,,,6,live,,T,D
2010,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,UA,UZ,,,1,live,,T,C
2010,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,AE,ZA,,20,11,live,,T,C
2010,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,JP,SG,,2,2,live,,T,D
2010,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,MY,SG,,2,,live,,T,D
2010,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,NA,ZA,NA,2,,live,,T,C
2010,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,NA,ZA,,2,,live,,T,C
2010,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,QA,ZA,,2,2,live,,T,C
2010,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,UA,UZ,,,2,live,,T,C
2010,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,VE,PT,DE,,1,live,,T,C
2010,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,VE,PT,,,1,live,,T,C
2010,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,AE,ZA,,8,,live,,T,C
2010,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,DE,PH,,2,,live,,T,C
2010,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,GB,ZA,,,2,live,,T,C
2010,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,KW,PH,,8,,live,,T,C
2010,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,KW,ZA,,1,,live,,T,C
2010,I,Ariocarpus spp.,,Caryophyllales,Cactaceae,Ariocarpus,CH,DE,,3,,live,,T,D
2010,I,Ariocarpus spp.,,Caryophyllales,Cactaceae,Ariocarpus,US,CN,,3,,live,,T,I
2010,I,Ariocarpus agavoides,,Caryophyllales,Cactaceae,Ariocarpus,CH,DE,,,3,live,,T,D
2010,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,CH,DE,,1,,live,,T,A
2010,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,CH,DE,,,1,live,,T,D
2010,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,CH,TH,,1,,live,,T,D
2010,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,IT,TH,,1,,live,,T,D
2010,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,US,TH,,1,,live,,T,A
2010,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,US,TH,,3003,,live,,T,D
2010,I,Ariocarpus kotschoubeyanus,,Caryophyllales,Cactaceae,Ariocarpus,CH,DE,,2,2,live,,T,D
2010,I,Ariocarpus kotschoubeyanus,,Caryophyllales,Cactaceae,Ariocarpus,CH,TH,,1,,live,,T,D
2010,I,Ariocarpus retusus,,Caryophyllales,Cactaceae,Ariocarpus,AT,TH,,1,,live,,T,D
2010,I,Ariocarpus retusus,,Caryophyllales,Cactaceae,Ariocarpus,CH,DE,,,6,live,,T,D
2010,I,Ariocarpus retusus,,Caryophyllales,Cactaceae,Ariocarpus,CH,TH,,1,,live,,T,D
2010,I,Ariocarpus retusus,,Caryophyllales,Cactaceae,Ariocarpus,IT,TH,,3,,live,,T,D
2010,I,Ariocarpus retusus,,Caryophyllales,Cactaceae,Ariocarpus,US,TH,,1,,live,,T,D
2010,I,Ariocarpus scaphirostris,,Caryophyllales,Cactaceae,Ariocarpus,CH,DE,,,1,live,,T,D
2010,I,Astrophytum asterias,,Caryophyllales,Cactaceae,Astrophytum,AT,TH,,9,,live,,T,D
2010,I,Astrophytum asterias,,Caryophyllales,Cactaceae,Astrophytum,CH,DE,,,39,live,,T,D
2010,I,Astrophytum asterias,,Caryophyllales,Cactaceae,Astrophytum,CH,FR,,,4,live,,T,A
2010,I,Astrophytum asterias,,Caryophyllales,Cactaceae,Astrophytum,CH,TH,,10,,live,,T,D
2010,I,Astrophytum asterias,,Caryophyllales,Cactaceae,Astrophytum,MX,TH,,5,,live,,T,D
2010,I,Astrophytum asterias,,Caryophyllales,Cactaceae,Astrophytum,US,TH,,1,,live,,T,A
2010,I,Astrophytum asterias,,Caryophyllales,Cactaceae,Astrophytum,US,TH,,101,,live,,T,D
2010,I,Aztekium ritteri,,Caryophyllales,Cactaceae,Aztekium,AU,CZ,,20,20,live,,T,D
2010,I,Aztekium ritteri,,Caryophyllales,Cactaceae,Aztekium,CH,DE,,,10,live,,T,D
2010,I,Aztekium ritteri,,Caryophyllales,Cactaceae,Aztekium,IL,DE,,,2,live,,T,D
2010,I,Cactaceae spp.,,Caryophyllales,Cactaceae,,CH,BE,,90,,live,,T,A
2010,I,Cactaceae spp.,,Caryophyllales,Cactaceae,,CH,DE,,58,,live,,T,A
2010,I,Cactaceae spp.,,Caryophyllales,Cactaceae,,CH,FR,,,1,live,,T,A
2010,I,Cactaceae spp.,,Caryophyllales,Cactaceae,,CH,NL,,697,,live,,T,A
2010,I,Discocactus placentiformis,,Caryophyllales,Cactaceae,Discocactus,DE,US,,15,15,live,,T,D
2010,I,Discocactus zehntneri,,Caryophyllales,Cactaceae,Discocactus,CH,DE,,,1,live,,T,D
2010,I,Discocactus zehntneri,,Caryophyllales,Cactaceae,Discocactus,DE,US,,270,270,live,,T,D
2010,I,Echinocereus ferreiranus,,Caryophyllales,Cactaceae,Echinocereus,CH,DE,,,15,live,,T,D
2010,I,Echinocereus schmollii,,Caryophyllales,Cactaceae,Echinocereus,CH,DE,,,6,live,,T,D
2010,I,Escobaria minima,,Caryophyllales,Cactaceae,Escobaria,CH,DE,,1,,live,,T,A
2010,I,Escobaria minima,,Caryophyllales,Cactaceae,Escobaria,CH,DE,,,8,live,,T,D
2010,I,Escobaria sneedii,,Caryophyllales,Cactaceae,Escobaria,CH,DE,,5,,live,,T,A
2010,I,Escobaria sneedii,,Caryophyllales,Cactaceae,Escobaria,CH,DE,,,24,live,,T,D
2010,I,Mammillaria pectinifera,,Caryophyllales,Cactaceae,Mammillaria,CH,DE,,,21,live,,T,D
2010,I,Melocactus conoideus,,Caryophyllales,Cactaceae,Melocactus,CH,DE,,,1,live,,T,D
2010,I,Melocactus glaucescens,,Caryophyllales,Cactaceae,Melocactus,CH,DE,,11,,live,,T,A
